Model,Fold,Accuracy
SVM,1,0.18461538461538463
SVM,2,0.18021978021978022
SVM,3,0.1912087912087912
SVM,4,0.1901098901098901
SVM,5,0.19175824175824177
SVM,6,0.18406593406593408
SVM,7,0.18626373626373627
SVM,8,0.19175824175824177
SVM,9,0.17252747252747253
SVM,10,0.18296703296703296
RandomForest,1,0.27307692307692305
RandomForest,2,0.23406593406593407
RandomForest,3,0.2543956043956044
RandomForest,4,0.27802197802197803
RandomForest,5,0.24065934065934066
RandomForest,6,0.2571428571428571
RandomForest,7,0.27912087912087913
RandomForest,8,0.2554945054945055
RandomForest,9,0.25
RandomForest,10,0.26263736263736265
GradientBoosting,1,0.2725274725274725
GradientBoosting,2,0.25659340659340657
GradientBoosting,3,0.260989010989011
GradientBoosting,4,0.2692307692307692
GradientBoosting,5,0.26373626373626374
GradientBoosting,6,0.2752747252747253
GradientBoosting,7,0.2675824175824176
GradientBoosting,8,0.2620879120879121
GradientBoosting,9,0.26868131868131867
GradientBoosting,10,0.27472527472527475
AdaBoost,1,0.14065934065934066
AdaBoost,2,0.14945054945054945
AdaBoost,3,0.14285714285714285
AdaBoost,4,0.1346153846153846
AdaBoost,5,0.14175824175824175
AdaBoost,6,0.12307692307692308
AdaBoost,7,0.1532967032967033
AdaBoost,8,0.1434065934065934
AdaBoost,9,0.11703296703296703
AdaBoost,10,0.14065934065934066
KNN,1,0.22967032967032966
KNN,2,0.20164835164835165
KNN,3,0.22637362637362637
KNN,4,0.23241758241758242
KNN,5,0.22362637362637364
KNN,6,0.23626373626373626
KNN,7,0.21428571428571427
KNN,8,0.22032967032967032
KNN,9,0.2291208791208791
KNN,10,0.22857142857142856
LogisticRegression,1,0.20384615384615384
LogisticRegression,2,0.2021978021978022
LogisticRegression,3,0.20549450549450549
LogisticRegression,4,0.19835164835164834
LogisticRegression,5,0.2010989010989011
LogisticRegression,6,0.2032967032967033
LogisticRegression,7,0.2043956043956044
LogisticRegression,8,0.19230769230769232
LogisticRegression,9,0.1956043956043956
LogisticRegression,10,0.1967032967032967
DecisionTree,1,0.18021978021978022
DecisionTree,2,0.18021978021978022
DecisionTree,3,0.1956043956043956
DecisionTree,4,0.21043956043956044
DecisionTree,5,0.17142857142857143
DecisionTree,6,0.18571428571428572
DecisionTree,7,0.19230769230769232
DecisionTree,8,0.1813186813186813
DecisionTree,9,0.1945054945054945
DecisionTree,10,0.18736263736263736
NaiveBayes,1,0.19230769230769232
NaiveBayes,2,0.18021978021978022
NaiveBayes,3,0.2021978021978022
NaiveBayes,4,0.19835164835164834
NaiveBayes,5,0.20659340659340658
NaiveBayes,6,0.20054945054945056
NaiveBayes,7,0.19175824175824177
NaiveBayes,8,0.1967032967032967
NaiveBayes,9,0.17912087912087912
NaiveBayes,10,0.1901098901098901
RidgeClassifier,1,0.17527472527472526
RidgeClassifier,2,0.17747252747252748
RidgeClassifier,3,0.17032967032967034
RidgeClassifier,4,0.16648351648351647
RidgeClassifier,5,0.17417582417582417
RidgeClassifier,6,0.17087912087912088
RidgeClassifier,7,0.17142857142857143
RidgeClassifier,8,0.17087912087912088
RidgeClassifier,9,0.15989010989010988
RidgeClassifier,10,0.1697802197802198
Perceptron,1,0.15384615384615385
Perceptron,2,0.07032967032967033
Perceptron,3,0.04725274725274725
Perceptron,4,0.10164835164835165
Perceptron,5,0.04065934065934066
Perceptron,6,0.05879120879120879
Perceptron,7,0.08681318681318681
Perceptron,8,0.14065934065934066
Perceptron,9,0.038461538461538464
Perceptron,10,0.09230769230769231
PyTorchNN,1,0.12857143580913544
PyTorchNN,2,0.14725275337696075
PyTorchNN,3,0.10769230872392654
PyTorchNN,4,0.12857143580913544
PyTorchNN,5,0.12362637370824814
PyTorchNN,6,0.12252747267484665
PyTorchNN,7,0.13131868839263916
PyTorchNN,8,0.10274725407361984
PyTorchNN,9,0.12417582422494888
PyTorchNN,10,0.11043956130743027
